country_code,return_fee_cents,exchange_fee_cents,updated_at,max_grams
HR,2200,2100,2026-07-28 16:18:15.060667,3000
HR,3100,3000,2026-07-28 16:18:15.10755,5000
HR,3700,3600,2026-07-28 16:18:15.037,2147483647
HU,1800,1700,2026-07-28 16:18:15.198394,1000
HU,2200,2100,2026-07-28 16:18:15.247777,2000
HU,2200,2100,2026-07-28 16:18:15.296291,3000
HU,3100,3000,2026-07-28 16:18:15.339199,5000
HU,3700,3600,2026-07-28 16:18:15.33,2147483647
IE,5400,5300,2026-07-28 16:18:15.489783,1000
IE,7200,7100,2026-07-28 16:18:15.537054,2000
IE,11200,11100,2026-07-28 16:18:15.588361,3000
IE,11300,11200,2026-07-28 16:18:15.634923,5000
IE,18800,18700,2026-07-28 16:18:15.563,2147483647
IL,8300,8200,2026-07-28 16:18:15.736647,1000
IL,10000,9900,2026-07-28 16:18:15.78685,2000
IL,13400,13300,2026-07-28 16:18:15.834516,3000
IL,13400,13300,2026-07-28 16:18:15.964101,5000
IL,20700,20600,2026-07-28 16:18:15.894,2147483647
IS,5300,5200,2026-07-28 16:18:16.053747,1000
IS,7100,7000,2026-07-28 16:18:16.099527,2000
IS,10900,10800,2026-07-28 16:18:16.143502,3000
IS,10900,10800,2026-07-28 16:18:16.19152,5000
IS,18100,18000,2026-07-28 16:18:16.119,2147483647
IT,1100,1000,2026-07-28 16:18:16.282989,1000
IT,1400,1300,2026-07-28 16:18:16.328734,2000
IT,1400,1300,2026-07-28 16:18:16.372968,3000
IT,1800,1700,2026-07-28 16:18:16.49328,5000
IT,2200,2100,2026-07-28 16:18:16.423,2147483647
JP,5100,5000,2026-07-28 16:18:16.58189,1000
JP,6700,6600,2026-07-28 16:18:16.637835,2000
JP,10100,10000,2026-07-28 16:18:16.678803,3000
JP,10100,10000,2026-07-28 16:18:16.724957,5000
JP,17300,17200,2026-07-28 16:18:16.652,2147483647
LT,1800,1700,2026-07-28 16:18:16.816252,1000
LT,2200,2100,2026-07-28 16:18:16.864746,2000
LT,2200,2100,2026-07-28 16:18:16.914453,3000
LT,3100,3000,2026-07-28 16:18:17.015786,5000
LT,3700,3600,2026-07-28 16:18:16.948,2147483647
LU,1300,1200,2026-07-28 16:18:17.107266,1000
LU,1500,1400,2026-07-28 16:18:17.153055,2000
LU,1900,1800,2026-07-28 16:18:17.20025,3000
LU,2800,2700,2026-07-28 16:18:17.244221,5000
LU,3400,3300,2026-07-28 16:18:17.172,2147483647
LV,1800,1700,2026-07-28 16:18:17.329037,1000
LV,2200,2100,2026-07-28 16:18:17.37261,2000
LV,2200,2100,2026-07-28 16:18:17.416776,3000
LV,3100,3000,2026-07-28 16:18:17.545847,5000
LV,3700,3600,2026-07-28 16:18:17.476,2147483647
MT,5400,5300,2026-07-28 16:18:17.643757,1000
MT,7200,7100,2026-07-28 16:18:17.688117,2000
MT,11200,11100,2026-07-28 16:18:17.731903,3000
MT,11300,11200,2026-07-28 16:18:17.779566,5000
MT,18800,18700,2026-07-28 16:18:17.708,2147483647
MX,4600,4500,2026-07-28 16:18:17.86901,1000
MX,6700,6600,2026-07-28 16:18:17.909303,2000
MX,9600,9500,2026-07-28 16:18:17.955488,3000
MX,9700,9600,2026-07-28 16:18:18.107293,5000
MX,15900,15800,2026-07-28 16:18:18.039,2147483647
NL,1100,1000,2026-07-28 16:18:18.205805,1000
NL,1400,1300,2026-07-28 16:18:18.253496,2000
NL,1400,1300,2026-07-28 16:18:18.298254,3000
NL,2300,2200,2026-07-28 16:18:18.349164,5000
NL,2600,2500,2026-07-28 16:18:18.278,2147483647
NO,4400,4300,2026-07-28 16:18:18.440043,1000
NO,5200,5100,2026-07-28 16:18:18.489232,2000
NO,7200,7100,2026-07-28 16:18:18.611004,3000
NO,7200,7100,2026-07-28 16:18:18.656339,5000
NO,11200,11100,2026-07-28 16:18:18.586,2147483647
PL,1300,1200,2026-07-28 16:18:18.743779,1000
PL,1500,1400,2026-07-28 16:18:18.78983,2000
PL,1900,1800,2026-07-28 16:18:18.834709,3000
PL,2800,2700,2026-07-28 16:18:18.882972,5000
PL,3400,3300,2026-07-28 16:18:18.81,2147483647
PT,1000,900,2026-07-28 16:18:18.970217,1000
PT,1100,1000,2026-07-28 16:18:19.013884,2000
PT,1100,1000,2026-07-28 16:18:19.116484,3000
PT,1700,1600,2026-07-28 16:18:19.173254,5000
PT,2000,1900,2026-07-28 16:18:19.103,2147483647
RO,1800,1700,2026-07-28 16:18:19.271343,1000
RO,2200,2100,2026-07-28 16:18:19.327623,2000
RO,2200,2100,2026-07-28 16:18:19.368259,3000
RO,3100,3000,2026-07-28 16:18:19.412065,5000
RO,3700,3600,2026-07-28 16:18:19.34,2147483647
SE,1300,1200,2026-07-28 16:18:19.501067,1000
SE,1500,1400,2026-07-28 16:18:19.542894,2000
SE,1900,1800,2026-07-28 16:18:19.640715,3000
SE,2800,2700,2026-07-28 16:18:19.693286,5000
SE,3400,3300,2026-07-28 16:18:19.623,2147483647
SI,1800,1700,2026-07-28 16:18:19.788991,1000
SI,2200,2100,2026-07-28 16:18:19.847107,2000
SI,2200,2100,2026-07-28 16:18:19.892447,3000
SI,3100,3000,2026-07-28 16:18:19.949791,5000
SI,3700,3600,2026-07-28 16:18:19.89,2147483647
SK,1800,1700,2026-07-28 16:18:20.059982,1000
SK,2200,2100,2026-07-28 16:18:20.168838,2000
SK,2200,2100,2026-07-28 16:18:20.230712,3000
SK,3100,3000,2026-07-28 16:18:20.276305,5000
SK,3700,3600,2026-07-28 16:18:20.206,2147483647
US,2200,2100,2026-07-28 16:18:20.371766,1000
US,2300,2200,2026-07-28 16:18:20.418066,2000
US,8700,8600,2026-07-28 16:18:20.463604,3000
US,8700,8600,2026-07-28 16:18:20.511258,5000
US,13800,13700,2026-07-28 16:18:20.44,2147483647
UY,5100,5000,2026-07-28 16:18:20.68959,1000
UY,6700,6600,2026-07-28 16:18:20.747956,2000
UY,10100,10000,2026-07-28 16:18:20.797989,3000
UY,10100,10000,2026-07-28 16:18:20.84324,5000
UY,17300,17200,2026-07-28 16:18:20.773,2147483647
